version,w,s,i,time (ms)
txact,1,50,14,15266.465
txact,1,50,15,15838.043
txact,1,50,21,15411.719
txact,1,50,22,16814.689
txact,1,50,23,13924.756
txact,1,50,24,15949.966
txact,1,50,25,14950.881
txact,1,50,31,14794.120
txact,1,50,32,15852.968
txact,1,50,33,15676.280
txact,1,50,34,15143.371
txact,1,50,35,15219.423
txact,1,52,11,16161.732
txact,1,52,12,15196.712
txact,1,52,13,15702.270
txact,1,52,14,15264.722
txact,1,52,15,16950.166
txact,1,52,21,16105.122
txact,1,52,22,16847.711
txact,1,52,23,17217.850
txact,1,52,24,14892.410
txact,1,52,25,16299.273
txact,1,52,31,16808.851
txact,1,52,32,15172.109
txact,1,52,33,14843.554
txact,1,52,34,15472.994
txact,1,52,35,15025.133
txact,1,54,11,17665.816
txact,1,54,12,16956.449
txact,1,54,13,15680.189
txact,1,54,14,18412.149
txact,1,54,15,15081.369
txact,1,54,21,17016.511
txact,1,54,22,15355.247
txact,1,54,23,16039.430
txact,1,54,24,14870.554
txact,1,54,25,15949.667
txact,1,54,31,15488.359
txact,1,54,32,16887.007
txact,1,54,33,15036.274
txact,1,54,34,15797.644
txact,1,54,35,17137.146
txact,1,56,11,16874.798
txact,1,56,12,17169.699
txact,1,56,13,14916.804
txact,1,56,14,18279.297
txact,1,56,15,17261.106
txact,1,56,21,16976.253
txact,1,56,22,15042.643
txact,1,56,23,15865.435
txact,1,56,24,15125.168
txact,1,56,25,15662.242
txact,1,56,31,15562.308
txact,1,56,32,14859.088
txact,1,56,33,17014.753
txact,1,56,34,16031.778
txact,1,56,35,15591.158
txact,1,58,11,15201.694
txact,1,58,12,14981.633
txact,1,58,13,14896.108
txact,1,58,14,16629.147
txact,1,58,15,14511.061
txact,1,58,21,16945.855
txact,1,58,22,15563.698
txact,1,58,23,18351.067
txact,1,58,24,15820.862
txact,1,58,25,16984.861
txact,1,58,31,15058.459
txact,1,58,32,15112.179
txact,1,58,33,14974.937
txact,1,58,34,12621.382
txact,1,58,35,14588.139
txact,1,6,11,18303.123
txact,1,6,12,18432.310
txact,1,6,13,17234.114
txact,1,6,14,18585.922
txact,1,6,15,18211.217
txact,1,6,21,18090.124
txact,1,6,22,18349.173
txact,1,6,23,18066.136
txact,1,6,24,18258.046
txact,1,6,25,17841.630
txact,1,6,31,18242.174
txact,1,6,32,17044.777
txact,1,6,33,17630.302
txact,1,6,34,17480.890
txact,1,6,35,18265.976
txact,1,60,11,15988.774
txact,1,60,12,14908.331
txact,1,60,13,16546.268
txact,1,60,14,15121.569
txact,1,60,15,15855.920
txact,1,60,21,15651.673
txact,1,60,22,16591.234
txact,1,60,23,15390.309
txact,1,60,24,14865.568
txact,1,60,25,18364.694
txact,1,60,31,16706.587
txact,1,60,32,14952.697
txact,1,60,33,17420.047
txact,1,60,34,15335.096
txact,1,60,35,15103.149
txact,1,62,11,17250.242
txact,1,62,12,15090.923
txact,1,62,13,15879.800
txact,1,62,14,16296.247
txact,1,62,15,14668.159
txact,1,62,21,17444.172
txact,1,62,22,15633.574
txact,1,62,23,17870.114
txact,1,62,24,18135.632
txact,1,62,25,16849.039
txact,1,62,31,15400.068
txact,1,62,32,14668.905
txact,1,62,33,14975.387
txact,1,62,34,15579.205
txact,1,62,35,16258.914
txact,1,64,11,15222.680
txact,1,64,12,18028.894
txact,1,64,13,15483.965
txact,1,64,14,17066.046
txact,1,64,15,17806.703
txact,1,64,21,16979.971
txact,1,64,22,14974.230
txact,1,64,23,17752.510
txact,1,64,24,15752.655
txact,1,64,25,14940.374
txact,1,64,31,15625.026
txact,1,64,32,18262.432
txact,1,64,33,17142.636
txact,1,64,34,15561.166
txact,1,64,35,15746.165
txact,1,8,11,18125.633
txact,1,8,12,16793.819
txact,1,8,13,18498.789
txact,1,8,14,18701.822
txact,1,8,15,18045.098
txact,1,8,21,18763.384
txact,1,8,22,18787.142
txact,1,8,23,18761.302
txact,1,8,24,18635.662
txact,1,8,25,18396.052
txact,1,8,31,18694.585
txact,1,8,32,18336.637
txact,1,8,33,17349.793
txact,1,8,34,17631.090
txact,1,8,35,18143.013
txact,10,1,11,1119.520
txact,10,1,12,934.706
txact,10,1,13,1077.562
txact,10,1,14,1080.145
